,description
141,Deanston (12 year) - Deanston… what can I say about Deanston… I have this mental film-reel in my head of a Burn Stewart middle-manager tasting a 12 year-old cask sample in the Deanston warehouse after taking over ownership of the previously shuttered distillery. He frowns cocks his head and says “Well it’s garbage but we can probably sell it if we ride a trend. What are they clamoring for right now? Natural? Hand-made? Non-chill-filtered? That’ll work. Bottle it up boys! I have a meeting with Marketing.” I’m being harsh (and anachronistic Burn Stewart took over ownership in 1990) but I have trouble imagining a worse poster-child for the Craft Whisky Movement (TM) (c) (patent pending). It has everything on paper that whisky buffs have been asking for 46% “craft presentation” bottling strength non chill-filtration and no added coloring. It’s made more-or-less by hand and with traditional methods. It’s even located in a picturesque reclaimed mill building. On paper I should love it!I don’t.Actually I had one surprisingly tasty Deanston. It just didn’t have a Deanston label on it more’s the pity.So I thought maybe I’d climb up the age (and price) ladder and see if Deanston starts to shine after it leaves its NAS infancy. Luckily I found a glass 50ml miniature of the 12-year (aged in ex-bourbon casks) at a liquor shop. I’ve had good luck with glass miniatures not having off-flavors (unlike plastic ones). Does it redeem the Deanston name for me and let me buy the “Craft” hype?Nose Floral with notes of rosewater and orange blossom. Delicate aromas of peach white tea filtered honey fresh spring water and a slight nose tickle (alcohol).Palate Medium body. Initial tongue burn leaves primarily hay and toasted malt. Some woody character like bark but none of the delicate flowers or fruits promised by the aroma. Fairly earthy with some of those hay/bark notes verging on peat.Finish Short. A continuance of the palate with more bark and hay. As it fades it reveals faint banana and coconut.With Water Several drops of water seem to wash out the delicate aroma leaving a hint of fresh laundry and ozone. The palate becomes somewhat sweeter with a vanilla note. The finish becomes a bit brighter with a reprise of the peach notes. I’d avoid water with this because of what it does to the aroma.Overall Well I had high hopes but this is another Deanston dud for me. The nose promises so much with its airy insinuation of peach and honey and orange blossom flavors to come. Instead you get a mouthful of hay and some muddy puddles of peat water. I exaggerate but the flavor is definitely a let-down and it’s not redeemed by the vague finish. If I had to drain a bottle of this I could manage it but I wouldn’t fork over actual cash for a bottle even at $50 (didn’t you hear? $50 is the new $30 in whisky). Actually you might be better off pouring a Glencairn of this and giving it a solid whiff every few minutes. Just pour it down the drain when you’re done. You get the nice aroma and no hangover or calories! Think of it as whisky aromatherapy. You’re welcome.
142,Deanston Virgin Oak - This bottle caught my eye while browsing at a Total Wine & More in Phoenix AZ. Craft presentation (46%+ ABV and not chill-filtered) an interesting finish (in virgin oak presumably charred) and $30? Sign me up! I’d never heard of the Central Highland distillery Deanston but at this price I figured I couldn’t go wrong.I was… well wrong.It pains me to write this review (see Overall below) because I’m very much in favor of distilleries getting on the NCF bandwagon and bottling at reasonable proofs. I’d love to support Deanston in its efforts and in its price point but the whisky is just simply not good.Nose An unappetizing chemical component like partially-cured leather. Beeswax without the honey. Dry dusty stale malt. Wet cardboard.Palate Nicely creamy body. Minimal tongue burn. A hint of honey hardwood sawdust and something saline like salted ice cream.Finish Short. A lot of oaky bitterness and a return of the wet cardboard. Slight nougat and a tang of raw honey.With Water A small splash of water yielded a musty fungal odor and upped all the negative notes. It also thinned the body somewhat and added some hazelnut to the palate and finish and made the finish somewhat sweeter. Not pleasant either way.Overall Wow I really don’t like this. A shame because I’ve read that recent changes at Deanston had upped its single-malt game. The craft presentation (non-chill-filtering and 46%+ ABV) is a huge plus but it’s a pity that this NAS release fell horribly flat. I gave it the benefit of the doubt too and went through several glasses over several weeks before resigning myself to writing this review. It’s just not good even at this bargain-basement price. It tastes like the “virgin oak” used to finish the whisky was from a tainted or improperly cured barrel. A pity but I hold out hope that the age-statement releases are much better.
143,Dewar’s (12 year) Special Reserve Blended Scotch - Read my review of the bottom-shelf White Label from Dewar’s here. I wasn’t impressed. So I snagged a miniature of the 12-year aged version of Dewar’s house blend to see if a little age improves the dram. As with White Label the 12-year is a blend of many components with Aberfeldy single-malt at its heart. It says “Special Reserve” on the label which as we all know is not special and the only thing ‘reserved’ is a marked quantity of barrels set aside for longer aging. I could leave a few M&Ms from my bag out on the counter overnight and call them “special reserve” too.Note As discovered by the commenters below Dewar’s appears to have dropped its 12 year-old from 43% ABV (the one I tasted) to 40% ABV sometime in the last few years. It appears to have also dropped the “Special Reserve” on the label. This review is for the older possibly no longer available 43% ABV bottling with “Special Reserve” on the label.Nose Lemon curd on buttered scones. A bit of paint-thinner – a lot more nose tickle than I like to see in a 43% ABV. A clear quantity of grain whisky – light vanilla unripe fruit and fresh hay. Definitely on the “light and airy” side but with an unpleasant amount of burn.Palate Light cream – not very heavy-bodied despite all the grain. Potent and the 43% ABV comes through nicely with just the right amount of tongue burn. Hazelnut skins brown sugar cookies and lemon peel.Finish Short but not unpleasantly bitter. Some lingering pastry notes and a hint of bitter lemon. A suggestion of wood. Final note is just bitterness – oh well.With Water A splash of water releases a hint of anise and tames the nose tickle somewhat. It also improves the sweetness of the dram and rounds out some of the off flavors. It doesn’t do a whole lot for the finish and the bitterness remains. Nevertheless this is a whisky that benefits greatly from the addition of water.Overall On the upside it’s only slightly more expensive than the White Label so if you’re getting an inexpensive blend anyway it’s worth the upgrade. It has all the hallmarks of the “mid-range” blend light in style heavily “watered-down” with cheap grain whisky and that telltale bitter finish. Sure the malt component is 12 years old and I’m sure it’s lovely but it’s marred by 12 year-old grain whisky which needs another 6 or so to mellow out. Yes it’s better than White Label but it doesn’t stand up to even the cheapest single malts. I’d take Glenlivet 12 over this any day. Another blend bites the dust.Note Remember that I’m reviewing these whiskies on the basis of drinking straight at room-temperature. I’m sure Dewar’s 12 goes nicely in a Rob Roy but that’s just not what this blog is about.
144,Dewar’s White Label Blended Scotch - The number-one selling scotch in the United States. Really this is a surprise to me. I would have thought the honor would belong to Johnnie Walker Red Label or Chivas Regal. 311 million Americans can’t be wrong right? Let’s find out.Dewar’s blended scotch has a storied history going back to 1846 when John Dewar became one of the first men to bottle scotch (blended) in glass bottles for retail. In 1899 John Dewar’s son John A. Dewar unveiled the company’s new flagship product Dewar’s White Label. The main component was the malt produced at the newly-constructed Aberfeldy distillery in the Highlands near Perthshire. Dewar’s built the distillery to ensure a steady supply of malt for blending. Today’s White Label still retains Aberfeldy malt as its ‘heart’ or primary malt component and also contains as many as 40 other malts and grain whiskies.Nose Lemony. White peach. Chloraseptic. Thin. After a rest in the glass white peaches dominate. Lemon sorbet and a distinct neutral spirit – something in between vodka and cleaning solution. Pale honey and a hint of hops. Luckily the white fruit and citrus counterpoint the harshness of the alcohol in the nose but it’s still clear this contains young grain spirit.Palate A bit of creaminess in the body – unexpected. The alcohol hits harshly upfront then quickly dissipates leaving watered-down honey small beer and lemon peel.Finish Very short and uninteresting. The lemon floats to the top but the vodka notes win out in the end leaving an impression of low-quality spirit.With Water If anything the nose is sharper with less nuance. The palate seems unchanged although there might be a bit of vanilla that wasn’t present before.Overall This is probably very nice over ice although in cocktails I would think the light flavor would be completely overpowered by any mixer. I’m no mixologist however. The lemon notes throughout are nice as is the white peach on the nose. The slight creaminess of the body is an unexpected plus. Unfortunately the ungainly presence of the low-grade grain spirit tramples over the delicate flavors leaving you with an impression of minimum quality. You get as the saying goes what you pay for. This is somewhat drinkable straight (although I wouldn’t want a second glass after all that vodka-like aftertaste) but I wouldn’t consider it the best choice at this level. Try Famous Grouse Teacher’s Highland Cream or Chivas Regal 12 first. Of course for a bit more money Great King Street is better in every way and has a very similar flavor profile.I think America needs to expand its horizons somewhat although I guess all a brand has to do to establish itself as the “Number One Scotch in the US” is to become the standard ‘well’ whisky at the majority of bars. I guess the slogan “Number One Scotch For Americans Who Don’t Care What’s In Their Cocktails” doesn’t have quite the same ring to it.
145,District Made Bourbon - In a sea of local small-batch “craft” distilleries it’s hard to even remember which ones you’ve tried let alone which ones are good. It seems every trip to the liquor store I’m met with several new and unfamiliar labels. One Eight Distilling has been making bourbon and rye (and vodka and gin) in the US Capitol since 2015. Their flagship product District Made – formerly known as Rock Creek – is purportedly the first whiskey distilled aged and bottled in Washington D.C. since Prohibition.The District Made Straight Bourbon is an unusual “four-grain” (corn wheat rye (malted and unmalted) and malted barley) bourbon made from regional ingredients Corn and wheat from Lands End Farm in Chesterown Maryland rye from Fairview Cattle & Grain in Culpeper Virgina and malted barley and rye from Riverbend Malt House in Asheville North Carolina. The bourbon is aged for 2 years in new charred oak and bottled at a robust 47.5% ABV.I found my bottle while in D.C. for a family event so I’m not sure how wide their distribution is yet. I’d like to say I was hunting for local gems but in fact I just wanted something to make whiskey sours with.Nose Pleasant corn. Moderately sweet with cherry notes. Both nutty and oaky (just enough). Excellent balance. Bit of a nose tickle.Palate Syrupy body. Sweet again with moderate to heavy tongue burn. Nutty and oaky again. Turns a bit dry which provides a nice contrast with the prior sweetness.Finish Medium long. Bitter charcoal up front the finish is much drier. Some dark cocoa and espresso.With Water Water turns down the sweetness a notch and adds cocoa to the aroma. Less tongue burn but no additional notes on the palate. Water optional.Overall Excellent for a 2 year-old bourbon from a new distillery. Great balance especially on the aroma. Sufficient complexity on the palate to elevate it above “entry level” craft bourbon. A surprise.$50 is a bit high for the experience surprise or no. I would be happier paying $40 and hope that as the company matures and scales up its products might come down in price to a more competitive level.
146,Eagle Rare (10 year) Bourbon - The Great Hunt For My House Bourbon continues! I recently picked up a bottle of Eagle Rare 10 year which lately has become better known as the younger and more-available version of the Buffalo Trace Antique Collection’s Eagle Rare 17 which is almost as difficult to acquire as Pappy Van Winkle bourbon. Funny how in this era of whisky obsession that the standard is eclipsed by the limited. Having been guilty of dismissing the 10 year as “not worth my time” in the past I certainly can’t point fingers. I want several things in a house bourbon. I want it to be under $30 (preferably under $25). I want it to be regularly and widely available. I want it to be high enough quality to enjoy neat but also play nice with ice bitters and sugar to make a top-notch cocktail. As I am still trying to find the perfect house bourbon for under $30 I figured I’d give this one a try especially since it’s made by the same distillery as my current front-runner Buffalo Trace.The Eagle Rare brand originally a 101-proof Kentucky straight bourbon whiskey aged at least 10 years began in 1975 under the ownership of the Seagram Company. It was sold to the Sazerac Company (later named Buffalo Trace) in 1989 which finally discontinued the 101-proof version in 2005. In its place a 90 proof (45% ABV) 10 year-old single-barrel and a 90 proof 17 year-old became the standard Eagle Rare releases. The 17 year-old is part of the limited annual Buffalo Trace Antique Collection (BTAC) and is generally difficult to find. Recently during a label redesign Eagle Rare’s “Single Barrel” designation was dropped and the age statement moved to the back of the label. According to this interesting account by Clay Risen in 2014 this is due to a change in the bottling procedure for Eagle Rare which is still bottled one barrel at a time but can no longer be guaranteed to contain liquid only from one barrel.Eagle Rare uses Buffalo Trace’s “Low Rye” mash bill which is shared with the Buffalo Trace bottling Stagg Jr. George T. Stagg and others. This also means that Buffalo Trace and Eagle Rare 10 differ only in barrel selection and age. One might think of ER 10 as a longer-aged version of Buffalo Trace with more picky barrel selection. Not a bad trade-off for only $5 – $8 more per bottle…Nose Sweet and a little tart – orange peel and unripe cherries. Soft sweet corn and a layer of caramel. Little or no spice.Palate Silky smooth body with the tart cherries up front a bit of a burn and then creamed corn malted cereal orange marmalade and a hint of oak.Finish Medium length with just a ghost of the palate flavors. A little caramel a little orange peel then gone.With Water Water seems to neither improve nor harm the whisky.Overall A very nicely balanced nose with both tart and sweet notes in harmony. I could wish for some hint of rye spice and a more robust finish. Still I already prefer this to the similar and similarly-priced Elijah Craig 12. While the EJ12 has an edge in ABV and a more robust nose Eagle Rare is miles ahead on the palate and is much more balanced. Eagle Rare 10 is also a very different animal than Buffalo Trace despite being made at the same distillery from the same mash bill. ER10 has none of the Buffalo Trace sugar cane / vegetal complexity and an entirely different fruit profile. While I would definitely drink this neat with those orange and cherry notes it’s practically begging to be made into an Old Fashioned (no actual cherry and orange please keep it subtle).Well it’s official. The only attribute that Eagle Rare 10 lacks on my “house bourbon” wishlist is consistency – as a Single Barrel release (or nearly so) it might vary from bottle to bottle. Still I’ll take the individuality and chance of greatness over consistency any day. I now have a new house bourbon! If you haven’t given Eagle Rare 10 a chance because of Internet consensus that its big brother is the underdog of the Buffalo Trace Antique Collection you really should take another look.
147,Edradour (10 year) - For some reason when I picture tiny little Edradour in equally tiny Pitlochry I think of light floral small-batch whisky. I don’t know where I got this impression because it’s dead wrong. Now that I’ve tasted both this 10-year distillery official bottling and the special-release 12-year Caledonia I can’t find any more apt phrase to describe Edradour than “sherry bomb” and it’s by no means tiny in flavor. I must admit that I was downright shocked by the dense fungal old flavor of the sherry character in Edradour even at the relatively young age of 10 years. There is more rancio and dried fruit in this 10 year-old than I’ve ever found in Macallan 18. Although this isn’t as refined or silky-smooth as Macallan it’s a big sherry monster with a lot going on and well worth a look.This particular bottling is 40% ABV and is chill-filtered and from the U.K. Apparently the distillery also releases a 10 year-old at 43% perhaps for the US market? Please let me know in the comments if that’s incorrect.Nose Sherry for sure. Rancio notes like funky dried fruit. A fungal woodiness pervades – like decaying trees and wet fallen leaves. This smells surprisingly old for a young 10. Beneath a bit of caramel apple.Palate Nice mouth-coating sweet fruity candy raisins caramel apple and a little more of that borderline-rancid oxidized wine flavor.Finish Relatively long. A hint of smoke dried cherries and a nice lingering woodiness that never grows bitter.With Water Water seems to dampen the nose. On the palate it wakes some fresher fruit but at the expense of an increased alcohol burn. I would avoid the water especially with the low bottling proof.Overall I was surprised at both the apparent age and the quality of this sample. It is in no way inferior to the Caledonia sample I had last year and is robust and flavorful despite being only 40% ABV. For a 10 year-old to have this much deep oxidized sherry flavor is impressive and a testament to whatever casks they’re using. In a blind tasting I would have said this was 17 years old and I may have to start hunting around for a full bottle.
148,Edradour Caledonia 12 - “But if I should become a stranger know that it would make me more than sad. Caledonia’s been everything I’ve ever had…”Dougie MacLean’s lilting ballad about his homeland of Scotland (Caledonia is the latin-icized name for Scotland given by the Romans) released in 1979 is the inspiration for this special release from tiny Highland distillery Edradour. Dougie actually had a hand in choosing the casks for the whisky and helps promote it. I’ve loved the song since I heard it years ago and had to give the single-malt a try. Luckily I came across a 50ml miniature in Berkeley CA and snapped it up.Caledonia is bottled at 46% ABV and is not chill-filtered nor are any coloring agents added. The current release is 12 years old and aged in oloroso sherry. As this was a special release from a distillery with minuscule production quantities I’m not sure how easy it would be to track down a bottle.Nose Light but evident sherry. Red plums caramel-coated Red Delicious apples. Nose reminds me a little of the heft of GlenDronach. Meaty and thick aroma like dense fig cake. Underneath it has the nose of a delicate Speysider all honey and florals. A dash of water wakes up some orange peel notes.Palate Heavy bodied and mouth-coating. High tongue burn but that resolves into a nice mix of sherry characteristics (more red plums spice cake port wine reduction) and malty cereal flavors – mostly of the caramelized sugar variety. The water thins the body slightly perhaps also tames the burn somewhat and gives the fruit flavors a crisp acidic edge.Finish Medium-long length with swirling eddies of grape jam balsamic vinegar strawberry preserves and a last bit of orange marmalade and honey.Overall A very weighty dram with big fruit-bomb sherry a thick mouthfeel and a barrage of cooked fruit flavors. It feels like a 50%-plus ABV whisky on the tongue and even has some of the elements of good cask-strength sherry bombs. There’s a lot packed into this little 46% ABV package. Kudos on the craft presentation as well – here’s a great example of why neither chill filtration nor caramel coloring is necessary when you start with good malt whisky. Try it without the water first since it seems to diminish some of the jammy notes and replaces them with acidic fresh fruit.
149,Elijah Craig (12 year) Bourbon - Update Heaven Hill has discontinued the Elijah Craig 12 year (announcement was in early 2016) and replaced it with a no-age-statement Elijah Craig Small Batch.Elijah Craig 12 is a small-batch bourbon made by prolific distiller Heaven Hill in Bardstown Kentucky and is named after Reverend Elijah Craig who is apocryphally credited with the invention of oak aging of corn whisky to create bourbon. Heaven Hill is also responsible for among others brands Evan Williams Henry McKenna Larceny Old Fitzgerald Rittenhouse Rye Bernheim Original 7 year (pause for breath) Parker’s Heritage Rebel Yell and so on. Several of those bourbons including Evan Williams and Henry McKenna share the same mash bill with Elijah Craig 75% corn 13% rye and 12% barley (the barley is there to provide enzymes to “kick-start” the fermentation). One might call this a “low-rye” bourbon.Heaven Hill also produces hard-to-find variants A cask-strength version of Elijah Craig 12 year (it still has the age statement!) and 18- 20- 21- and 23-year bottlings.Nose Sumptuous caramel cinnamon-sugar apples heavy oak maraschino cherries (the bright red kind) serious brown sugar and molasses.Palate Thin body only slightly hot considering the high ABV. Big tannin-y oak up front and not particularly sweet.Finish On the short side. Hazelnuts. Furniture lacquer. Cinnamon and a hint of star anise.With Water A few drops of water bring vanilla and more sweetness to the nose. The palate becomes a bit more balanced and the water causes some of the brown-sugar notes to carry on through to the finish. When drinking this neat the water may be a good idea.Overall Elijah Craig starts off promising on the nose with lots of sugar oak and great depth. However it fails to deliver on that promise when it hits the palate where it’s thin and oaky and simple. The higher-than-normal ABV gives it an edge in cocktails where its flavors can come across but I wouldn’t choose this for my house bourbon. That said if a bottle landed in my lap I would make good use of it in a whole mess of Old Fashioneds.Elijah Craig 12 is effectively the same price as the current leader in my “house bourbon” hunt Eagle Rare 10 while the Craig has 2 years and 2% ABV on Eagle Rare it doesn’t keep up in terms of flavor. That said put two Old Fashioneds in front of me made from each bourbon and I very much doubt I could tell the difference.
150,Elijah Craig (12 year) Small Batch Barrel Proof Bourbon - Elijah Craig bourbon from Heaven Hill distillery has been feeling the same press of demand affecting the entire bourbon industry. In response several years ago they converted their flagship 12 year-old Small Batch bottling to a NAS edition blending in whisky 4 years younger. Luckily the cask-strength (Barrel Proof) bottling retains its 12 year age statement despite a recent label revamp. Savvy observers will note that the number is not on the front of the label but rather tucked away on the side of the bottle. With other producers this has historically been a precursor to dropping the age statement altogether. We shall see.Elijah Craig is Kentucky straight bourbon. The Barrel Proof bottlings made in three “small” batches per year are aged for 12 years in new charred oak barrels and bottled uncut (without any water added) and without chill filtration. They are from the same low-rye mash bill as the cheaper 46% ABV (now NAS) small batch edition 75% corn 13% rye and 12% malted barley (for enzymes).Regarding the batch numbering system from the company’s websiteThe first letter of the batch number indicates which of that year’s releases the bottle was a part of starting with “A” while the second digit is a number that determines the month of the year the bottle was released. The third and fourth digits indicate the year.My bottle is from batch C917 meaning it was released in September 2017 (the third batch of that year). It is a mouth-searing 65.5% ABV which felt like a lot until I discovered that some previous batches had been as high as 70% ABV. Ouch.Nose Fresh-hewn lumber. Dry and sappy. Seriously this smells like the inside of a lumber mill. While there is an oak weight to the wood aromas there is also a piney aspect. Despite the high proof the nose tickle is manageable. A noticeable lack of sweet notes.Palate Thick bodied. Liquid wood. Dense and astringent. The tongue burn is searing but brief. Dry (still no sugar) but concentrated and heady. My wounded tongue feels like it’s hallucinating cinnamon and clove.Finish Long. Now a little sweetness creeps in in the form of caramelized wood sugar. Not bitter or charcoal-heavy at all. Pungent cheek-drying oak tannins. A fading hint of powdery cinnamon.With Water A dash of water mutes the aroma but adds some caramel both to the nose and palate. A little cherry creeps in and the overall impression is far more balanced. Don’t expect a little water to save your tongue though this stuff is still 131 proof. Water highly recommended here.Overall This is 12 year-old dry bourbon at its most elemental. Expect little sweetness and a metric ton of wood but you won’t be able to fault this for pungent bourbon flavor. I highly recommend dosing it with a little water tasting and then dosing it with quite a lot more. Reminds me of Buffalo Trace at high proof but with less grass and more wood. This is one of the most-afforable ways to buy quality cask-strength bourbon but is not my favorite (that would be Stagg Jr. at the moment).
151,Elijah Craig Small Batch Bourbon - Today I’m here to talk about another fallen soldier in the whisky war of attrition known as “supply vs demand”. Heaven Hill in a statement issued in early 2016 announced that it would be replacing Elijah Craig 12 year-old with a non-age-statement version (“Small Batch”) which contains whiskey aged 8 to 12 years of age due to “increasing pressure” to “stocks of 12-year-old barrels”. As the cynics in the comment section will point out no doubt without an age statement it could literally all be 4 years old since the word of a PR person assuring a “blend of barrels between 8 and 12 years of age” carries no legal weight. I prefer to take them at their word (at least they didn’t make this switch in attempted secrecy) and will assume the bourbon is mostly 8 years old with a smattering of older barrels up to 12. Note that the Barrel Proof edition still has a 12-year age statement.Honestly I’m not too torn up about it as I wasn’t a huge fan of the 12 year. I rated the Elijah Craig 12 year-old a solid “Try Before Buy” and when I saw that the new NAS Small Batch is actually priced a little lower than its predecessor ($25 ish vs. $30 ish) I thought I’d give the new one a try. If nothing else a $25 NAS bourbon is useful for cocktails right?Nose A little shy. The first impression is of an indeterminate nuttiness. Some sweet vanilla banana cream and a hint of coconut underscore the reticent oak. Round and soft but without much presence. As usual a rest in the glass reveals more vanilla and more refined sugar (as in vanilla cake frosting).Palate Thin body. Very soft with a mild tongue burn. Again there isn’t much to describe beyond nondescript nut butter tannic oak and cake frosting. A bitter note suggests but does not assert spices such as clove and cinnamon.Finish More sweetness here with black licorice nonpareils drying tannins and very little to no bitterness. Fades inoffensively self-effacing.With Water A few drops of water yield a vegetal (grassy) note and increases the nose tickle. The palate is slightly more alert but does not add anything substantial. Water optional.Overall The word “shy” describes just about every facet of the experience of drinking this whiskey. It nearly glides along the palate without interacting much with the taste buds (hence the “soft” descriptor) and while it has a nice round balanced interplay of tropical fruit wood and alcohol the whole is dialed down to “low”. Oddly it doesn’t taste particularly watery or watered-down but rather that the alcohol carries little with it in the way of flavor compounds. This might be a good whiskey to balance subtle ingredients in a contemplative cocktail where you don’t want the bourbon to overwhelm something else. At $25 that’s not bad but it feels like this is crafted for an audience that doesn’t really want to taste their bourbon. A more likely explanation is this is what happens when you take a “value” bourbon and compromise on the barrel ages of the components. Drop 4 years and you lose a lot of oaky sugars in the aroma roundness on the palate and spices in the finish. That tell-tale grassy note that showed when water was added is also a consequence of the younger juice. At the lower price-point this is still a “Try Before Buy” but I’ve tried it and I won’t be buying more.
152,Ellington Reserve (8 year) Canadian Whisky - Lately I’ve been thinking about Canadian whisky. Other than Crown Royal there isn’t really a lot of Canadian whisky available to US drinkers and most of what’s available is… uhm… not very highly-regarded. That’s all changing with imports of products from Forty Creek Lot 40 and others. But to put that into perspective I felt a need to sample some of the existing “blended” Canadian whisky products already available here.I should know by now that a plastic 50ml sample bottle is a bad sign. A $15 price tag on a 750ml bottle? Equally bad sign. But hey the bottle says the whisky is 8 years old! An age statement on a cheap blended whisky? Maybe things are looking up! I can’t find a website or ANY information about the whisky other than its age. Like most blended Canadian whisky sold in the US it’s almost certainly bulk aged spirit imported by tanker truck into the US and then proofed down and bottled.Nose A blast of young grain a wave of artificial vanilla and something vegetal like fresh-cut cabbage. There is also a cloying sweetness attached to the vanilla.Palate Eughh. Chemical solvent and a very fake taste like concentrated food dye. The melted-ice-cream vanilla flavor tastes like it was added in by the bag. I don’t want to swallow it but onward in the name of Science!Finish Extremely (mercifully?) short although it leaves behind a coating in your mouth like someone’s been spraying RoundUp weed killer nearby and you got some in your mouth. Truly wretched.With Water Didn’t even try.Overall Please please don’t buy this. If one person somewhere reads this review in a BevMo and puts the bottle back on the shelf then I have done my duty as a whisky blogger and I can die contented. Buy anything – literally anything – instead. You’re better off with vodka “aged” overnight in a coffee cup.OK yes it’s possible this sample was contaminated by being in a plastic miniature bottle (I’ve certainly had bad luck before with miniatures especially plastic ones). However you’d have a hard time convincing me that this stuff could be improved by ANY amount of careful storage. Also any company that cares so little about repeat business that it allows miniatures (which many people use to “try before buying”) with this amount of degradation to represent their product deserves the bad press.
153,Evan Williams Black Label Bourbon - Today it’s a tale of two whiskeys Heaven Hill Distillery’s bottom-shelfer Evan Williams Black Label Bourbon (you can find it for $10 a bottle) versus the much more acclaimed Evan Williams Single Barrel (2000 vintage). The question Does barrel selection and an extra three years of age make $15-$20 worth of difference?First we take a look at the cheapo. At $10 a bottle sale-price it’s hard to beat the Evan Williams Black Label bottling for value. Aged around 6 years (likely a vatting of product aged minimum 4 years and up to 7 years) and bottled at the slightly-higher 43% ABV you simply can’t get a better American whiskey if your budget is $10. That’s not quite enough to recommend it however so let’s do a tastingNose Candle wax cantaloupe burned marshmallow butane lighter fluid.Palate Sweet white chocolate and maple sugar candy on the entry resolving into a typical bourbon profile of corn syrup wood char and neutral spirit. A little too sweet and cloying. The alcohol burn is brash and vodka-like.Finish Vanilla creme brûlée blackstrap rum and candy corn. Medium-length but marred by that “impure spirit” aftertaste.Overall Not impressed. It has more flavors going for it than your average bottom-shelf whiskey but its brash young grain and overbearing corn sweetness are just too much to recommend it anywhere but the cocktail glass. Normally as this is not something I would ever drink neat again I would give it a “Not Recommended”. However the effort displayed by the extra aging and ABV and the phenomenally low price tick it up to the “Mediocre” level. Sorry Evan Williams fans. However! Scroll up to see my opinion of the Evan Williams Single Barrel (2000 vintage).
154,Evan Williams Bottled-in-Bond Bourbon - Evan Williams is one of those bourbons that you could easily miss on the shelf due to its ho-hum label or your eye could pass over it and assume it’s something else. With a $10-a-bottle Black Label and a much-acclaimed and then quickly-forgotten Single Barrel Evan Williams has not exactly been screaming into the public consciousness. Still much like many Beam products there’s something to be said for cheap reliable Heaven Hill distillate. I snagged a full liter bottle of the Bottled-in-Bond version (basically a four year-old Black Label with a little extra proof on it) for $19 at Costco recently. Now I wish I’d bought four more to keep me in Old Fashioneds through the Great Quarantine of 2020.Heaven Hill is a storied Kentucky whiskey company that has been churning out reliable booze since 1935. Operations shifted to the current location at the Heaven Hill Bernheim distillery (DSP KY 1) in 1999 after a fire destroyed its main production facility in 1996. Aside from the eponymous Heaven Hill bourbon the company also makes several old standbys including Elijah Craig Old Fitzgerald and Rittenhouse rye. They also make some newer names like Henry McKenna (not actually new just more widely distributed now) and Larceny.Like Elijah Craig and Henry McKenna Evan Williams has a mash bill of 75% Corn 13% Rye and 12% Barley. It’s also Kentucky straight bourbon but because it’s labeled “bottled in bond” it’s aged for at least 4 years and bottled at 50% ABV (100 proof). It can be found in bottle sizes of 750ml 1 liter and 1.75 liter all for very reasonable prices.Nose Sweet and soft with initial notes of sweet corn cherry syrup and marshmallow. Mild nutty oak. Simple straightforward and pleasant. A rest in the glass adds a tutti-frutti or fruit punch note.Palate Thin body. Cherry throat lozenge and caramel frosting greet the tongue followed by a moderate tongue burn that also introduces cinnamon clove and brown sugar. Once again simple but effective with no off-notes.Finish Medium-long. Warming. Palate flavors continue plus mild mouth-drying tannins (like nut skins) vanilla cake frosting and the mildest of oak notes. Fades without evolving but also without turning bitter. As with the aroma a rest in the glass adds a fruit punch note.With Water Several drops of water initially mute the aroma which struggles to wake back up even after a rest. The palate and finish seem oddly muddled and the tongue burn is actually a little more piercing. Skip the water here if you’re drinking it neat.Overall Quintessential bourbon with a potent flavor that is appropriate for 100 proof whiskey but with a surprisingly mild tongue burn despite that proof. The flavors are all exactly what you expect from a rye-flavored bourbon but you also don’t get any off-flavors or evidence of immature whiskey. For the price this may be one of the best bourbons under $20 and is a slam dunk choice for home bourbon-based cocktails.
