,id,description
10,Aberlour A’Bunadh (Batch 41) ,"[': Coffee grounds and balsamic reduction. Dark chocolate nibs. Black cherry. Much darker notes and less fresh or red fruit than previous batches, but arguably more interesting.', ': Familiar mouth-puckering raspberry sour, dark oak, drying tannin, and strawberry. Just like old times.', ': Very long, with raisin and resin. Mouth-drying tannins. The fruit here is dried and concentrated and doused in sticky caramelized sugar. Ends with some faint marshmallow (from the oak influence).', ': Slightly lighter fruits; brings out strawberry in the nose. Reveals balsamic vinegar on the palate, and somewhat tames the burn.', ': Not as much of a sherry bomb as previous batches, but more complex and brooding. Still burns like sweet, sweet fire. The price is not as approachable as days gone by, but $60 for a fantastic sherried cask-strength whisky is still not a bad deal. I continue to recommend this malt highly.']"
11,Aberlour A’Bunadh (Batch 57) ,"[': Deeply raisiny, with more rancio and balsamic than prior batches. STRONG nose tickle – need to keep nose out of the glass. Smells drier – less fresh/vibrant fruit and more oakiness and dried fruit. Deep in the glass – if you dare – there is a layer of unctuous gooey caramel and fudge brownie.', ': Syrupy body. Salted caramel, and… OH GOD IT BURNS. Ok… once that’s out of the way, the seared remnants of my tongue pick up deep sugary oak (maple syrup but not maple), dusty dried prunes and raisins, faint fig jam, sawdust, and birch beer.', ': A layer of sooty charcoal that resolves into mouth-drying tannins, cocoa nibs, and an odd absence of fruit. Further sips confirm – lots of chocolate and oak, no fruit. Weird.', ': Several drops of water amps up the nose tickle, but also sweetens the aroma, adding fudgy frosting and a touch more fruit. It still burns like fire on the tongue, but the few fruit notes are brighter – more jelly than jam. The finish picks up a nice apple/cinnamon note, and isn’t quite as dry. This batch benefits immensely from water. At this ABV you could probably use splashes instead of drops, but taste as you go.', ': I have to say, as much as I love A’Bunadh, this is not my favorite batch. I’m a sucker for big, fresh fruit in my sherried drams, or heavily jammy/concentrated fruit flavors. This has neither. Although the chocolate notes are welcome, and the flavor is as powerful and dense as always, the whole comes across as drier, woodier, and with less fruit than usual. Reminds me more of a mid-aged (~15 yr) ']"
12,Aberlour Casg Annamh (Batch 1) ,"[': Balsam and juniper berry strike the nose first, but the aroma is shy and seems to require a rest in the glass. After said rest there is mild sweet grape jam, cherry ', ': Syrupy body. A moderate tongue burn is followed by sugar cookie dough, ', ': Medium-short. Some charcoal bitterness, flecked with root beer and powdered cinnamon. Little fruit. Fades without much fanfare, leaving a bit of menthol.', ': A few drops of water bring out a distinct fresh hay note in the aroma, but not much else. The palate is cleaner with some licorice, the finish rounder. Water doesn’t hurt, but it also doesn’t fix what’s wrong here.', ': I’m not used to Aberlour being shy, and to add insult to injury this is no sherry bomb. This seems to be an unsuccessful merging of sherried and ex-bourbon styles where the best elements of each is squashed by the presence of the other. The notes that I can detect are fleeting and inconsistent. I could imagine that midway through a full bottle of this, one would come to appreciate its core complexity… but a sample is insufficient to do it justice. I am left without much desire to find a full bottle, especially when A’bunadh and ']"
13,Alberta Rye Dark Batch Canadian Whisky ,"[': A robust – dare I say, “bold”? – aroma of fungal wine caves, sweet fortified wine (duh), and soft, sweet, round Canadian “rye”. More fun than serious, this smells like a glass of something a bunch of drunk whisky people would mix together after a particularly long cask-strength tasting. You can tell there’s sherry (as opposed to sherry cask-aged whisky) in here, because the aromas are winey and with a dense, fresh, watery fruit note that one does not normally find in whisky. If you think of this like a bottled cocktail, the effect is quite pleasant, and very well-integrated.', ': Syrupy body. Black raisins, pine resin, soft wheat, and red wine dregs. After the initial (very tame) tongue burn, there is some malty cereal sweetness like marshmallows and coconut shavings.', ': Long-ish. The sherry pervades, with raisins, resinous sappy wood, and the barest reminder that this is rye: cloves. Fades without bitterness.', ': A few drops of water bring very sweet melted vanilla ice cream to the nose, along with a heightened sense of rye spice (cinnamon, primarily). muting the “wet” sherry notes. The palate is downright “smooth” (aka doesn’t burn) with a little water, but no new notes appear. Water is fully optional here.', ': I think the best way to think of Dark Batch is as a bottled cocktail, and a damn good one at that. A masterful balance of dark, resinous sherry with your typical round, sweet Canadian rye. At a very reasonable price, this is something that could form a tasty, satisfying drink neat, or as a component in some unique cocktails. In fact, it’s quite pleasant by itself on ice.']"
14,Alchemist: The Macallan (15 year) ,[]
15,Alexander Murray Bon Accord ,"[': Smells like a blend (it’s not). White peach, stale hay, green apple. Some banana after a rest in the glass. The rest also adds an aroma of fresh laundry, but also a sense of watery blandness that suggests a lack of potency.', ': Silky mouthfeel. Very light tongue burn. Bananas foster up front, with mild sweetness and a nice round cereal note. Pleasant, if unremarkable. Forgettable, even.', ': Short. Caramel, and then a fading hint of black licorice. Some slight oaky bitterness.', ': A scant few drops of water wake up the nose a little with some extra alcohol tickle, but no additional aromas. The mouthfeel is unaffected, as is the flavor. The finish might have picked up a fruity twang. Water neither helps nor hurts here, which is actually good news for those looking to drink theirs on the rocks.', ': A middle-of-the-road, middling malt without much to say for itself. It’s not bad, but it doesn’t exactly jump out of the glass either. It’s priced correctly under $30, but nothing about it justifies purchasing it over other options in that range. I do wish it were bottled at 46% ABV.']"
16,Alexander Murray: Mortlach (16 year) 1995 – 2011 ,"[': Tannic, slightly acidic oak. Something tart, like apple cider vinegar, meets the nose first, and further digging is necessary to find the meaty/fruity notes that Mortlach is known for. Deeper in the glass I find dried apple slices, fresh hay, and a faint charry smokiness. Butterscotch makes an appearance, but the overall aroma is not sweet.', ': Texturally heavy, not quite oily. First, there is a pleasant wave of toasty grains and cashew butter, followed by more dried apple and dusty orange peel.', ': Warming; medium length. Roasted nuts, spun sugar, fading without bitterness.', ': Several drops of water seem to wash out the aroma, leaving only faint hay. The palate becomes thinner and acquires only a waxy/glue note. The finish, however, is a little fruitier. I’d skip the water here. At 40% ABV, it certainly doesn’t need it.', ': While it pales in a side-to-side comparison with classical sherry-aged ']"
17,Amrut ‘Intermediate Sherry Matured’ ,[]
18,Amrut Fusion ,[]
19,Amrut Peated ,[]
20,Amrut Portonova ,"[': Piercing nose – a sour top note like key limes over a layer of round, plummy sweetness. Lots of port character – ruby berries, plump black raisins, resiny brandy. Underneath there is a hint of banana sorbet, but distinctly different from other Amruts.', ': There’s the Amrut banana upfront. Sweet and just off cloying. There is moderate tongue burn, followed by sweet-and-sour mix, cinnamon raisin toast, sticky prunes, banana nut bread and raspberry jam. Viscous mouthfeel: syrupy but not oily or thick.', ': Subtle, but long. Leaves behind a sherry-like cherry syrup, drying oak, and some vague savoriness/meatiness. A bit muddled.', ': The nose is something unique. That sour high note combined with a sea of dark fruits and rich layers of port make an uncanny but delicious combination. I’m not sure where the sour lime note comes from – it’s not something I associate with port – but it carries through on the tongue. The finish is a little bit vague, with most of the exciting flavors dried up and only the wood and some remnant plummy notes left. But the nose… I could sit and smell this all day.', ': The sour note I mentioned is amplified by the addition of water. It reveals notes of green banana, sweet pea, and toffee in the nose. On the tongue, the whisky becomes sweeter and the burn is very much diminished. The finish, also, is somewhat clarified, with more green fruits and some golden raisin. I definitely suggest trying this with a very small amount of water.']"
21,Amrut Single Malt ,[]
22,anCnoc (12 year) ,[]
23,anCnoc (16 year) ,[]
24,"anCnoc (1996 vintage, bottled 2011) ",[]
25,Angel’s Envy Bourbon ,[]
26,Angel’s Envy Cask Strength Bourbon (2014) ,"[': Hot (strong alcohol fumes). Ruby port, grapefruit, honeycomb, and a deep, round woodiness. Under the blanket of alcohol, there’s roasted chestnuts, cherry cordial, and charcoal. There actually isn’t as much fruit on the nose as I expected. After a few minutes of rest in the glass, it develops an awesome, heady vanilla buttercream frosting aroma. Really – wow.', ': Moderate tongue-burn. Barrel tannins are immediately apparent, and then blackberry jam, butterscotch, and cherry ice cream.', ': Long and warming. A nice, tart wave of mixed berries fades into spun sugar, which becomes burnt caramel and then charcoal. Never bitter.', ': A few drops of water increase the vanilla frosting note in the aroma, and might be making the flavor and finish nuttier. A more aggressive watering (to around 40% ABV) yields unripe berries and kiwi on the nose. Seriously, kiwi. However, this makes it slightly anemic (at least in comparison to full strength) on the tongue. I’d shoot for around 50% ABV if you want to tame the fire.', ': I definitely suggest letting this open up in the glass for a few minutes – you want that initial nuclear mushroom-cloud of alcohol to dissipate and that head of vanilla frosting to develop before nosing. As with other Angel’s Envy releases, you can count on the bourbon component to complement (not overwhelm) the port finish. However, the high proof of this release amps both up, so that intense berry/fruit flavors compete with concentrated oak and corn syrup flavors. While the flagship Angel’s Envy pairs easy-sipping, soft, subtle bourbon with port wood, at cask strength the mixture is much denser and loses some of that subtlety. You’re best off tasting this at full proof (after the rest), and then watering it down to around 50% to get the best of both worlds. I think it’s an excellent whisky, and really shows what Angel’s Envy is capable of. I can’t love the price point, however, no matter how carefully hand-picked the casks are.']"
27,Angel’s Envy Cask Strength Bourbon (2015) ,"[': Candy corn, fresh juicy peaches, dried apple slices. A little deeper in there’s creamed corn, fresh hay, and a deep, heavy, buttery oakiness. The sweet/sugary notes are minor, mostly burnt caramel and a hint of maple sugar. After a rest in the glass, the aroma is heavy with bright, vivid fruit punch.', ': Hot. So very hot! Untempered, that 64% ABV is some serious business. After the flames die down and your eyes stop watering, there is sparkly ground cinnamon, fresh snappy red apples, cinnamon red-hots, and a light non-cloying general sweetness, like a light brown sugar glaze.', ': Medium-long. Slightly bitter oaky tannins only at first and then a few passing tart notes (red plums, lemon peel) and a mouth-coating Red Delicious apple skin note that hangs on for quite awhile at the end.', ': A small splash of water brings out a little more sweetness on the nose (caramel/butterscotch), but at the cost of some of the intensity of the other notes. The palate is much more friendly, with pleasant fruit notes co-mingling with light oak and toffee. The finish is unchanged. I highly recommend some water with this (if you have a whole bottle, also try watering a small glass down to around 46% and see how different it is) unless you think you can handle the burn of a sip at cask strength, which has the benefit of more intense flavors all around.', ': This is a damn tasty whiskey. What I’ve always liked about Angel’s Envy is its ability to transcend the bourbon clichés and deliver both subtlety and complexity in a way that other, heavier bourbons just can’t. At cask strength, you have an iron fist in a velvet glove – those same subtle, complex elements are thrust in your face and burned onto your tongue, for better or for worse. Priced at or above $160, it’s your decision whether that sounds enticing enough to justify that chunk of change. For me, it’s a reserved “Must Try” (good luck!).']"
28,Angel’s Envy Cask Strength Bourbon (2016) ,"[': Approach with caution. At this proof, it will crawl right up your nose and burn your sinuses! Furniture lacquer, blueberry jam, espresso, bright red candied apples, black cherry lozenges, and black pepper. Deep, dark, and pungent.', ': An initial wave of cassis is burned out by a gout of hellfire that anesthetizes the tongue (you’d think I’d be used to cask strength whiskies by now…) Under anesthesia, the taste buds can make out blackberry preserves, toffee, espresso, charcoal, and a rough, oaky sweetness.', ': Medium-short, but confused. Upfront there is bitter charcoal and charred toast, which fades quickly into tannic red grape skins. Quite dry.', ': A big splash of water helps quench the fires, and allows me to detect a few additional notes: marshmallow, mixed berries, and licorice on the palate. Water is nearly a necessity here to make it drinkable, but you might brave a first sip or two without, to get the full blast of concentrated 124 proof flavor.', ': As usual, Angel’s Envy cask strength brings a wealth of intense flavor at a tongue-searing proof. You pay for the robust, dense flavors of berries and complex caramelized sugars in dead taste buds and the inability to smell for a few hours after. By all means, proof it down, but you might as well experience the full force of the 124.6 proof that you paid for. And paid well, I should add, at around $180. For that kind of money, this can only be a special-edition splurge.']"
29,Angel’s Envy Cask Strength Bourbon (2017) ,"[': A gentle waft of juicy red grapes and berry jam greets the nose. The fruits are redder and fresher than the 2016 edition. Beneath the fruit is a layer of varnish and dark oak. The lacquer note from last year is muted and seems to convey a sweeter wood-sugar note. There is also more marzipan (almond extract) than usual. Neither glass emits much in the way of grain spices. A rest in the glass adds a welcome blanket of vanilla frosting. It’s worth letting this open up a little (20-30 minutes). Both vintages are powerful: don’t get your nose too deep in the glass or you risk burning out your sense of smell for awhile.', ': On fire out of the gate: A cascade of searing inferno washes over my tongue, raping and pillaging before settling into a dull, numb ache. The few surviving tastebuds register dense blackberry jam, toffee, espresso, and oaky tannins before giving up the ghost. You may as well give this a taste at full strength to prove your bravado. Then give your mouth an hour or two to recover and water the rest down sufficiently to taste. The 2016 edition had more chewy dried fruits and taffy notes, as well as more caramelized sugars.', ': Long. Residual fresh red fruits (fruit punch) and cinnamon-spiced mulled wine linger for awhile, fading with peppery, mouth-drying tannins and blackberry seeds (you know, the ones stuck in your teeth after a few blackberries, which taste woody when you find them). The 2016 edition was more incoherent, and shorter.', ': At last! A healthy splash (or two) of water temporarily mutes the fresh fruit aroma but also sweetens both the nose and palate. The bourbon’s complexity and woody sweetness are more apparent when you can actually taste them. This is one cask-strength bourbon that I like even better at a drinking strength (50% ish ABV). You’ll need a lot of water to truly take away the fire. Note that if your personal ethics rebel at the idea of adding water to expensive cask-strength whisky, taking a big glug of water immediately before and immediately after each taste of whiskey can help.', ': First, is it better than the 2016 edition, which I recommended? Yes, I think so. It lacks a little of that caramelized depth that is reserved for older and more-concentrated bourbons, but more than makes up for it with polish, coherency, and intensely fresh-tasting fruit notes. For that reason, this whisky’s 2017 edition is still recommended, but only if the $200 price tag (and second $20 increase in two years) doesn’t faze you. It certainly fazes me: I wouldn’t have purchased a bottle at $179 and I will continue to not purchase a bottle at $199. All that said, there is no denying that this is an exceptional bourbon, from exceptionally well-chosen barrels, and adeptly finished.']"
30,Angel’s Envy Rye ,"[': Spicy! Assorted baking spices (clove, cinnamon, etc.), with a deep undercurrent of molasses. The rum character is evident with fresh cane juice, coconut, and a very heavy caramelized sugar note. Something vegetal as well – root beer? Sweetness and spice alternate for dominance in the nose. Very robust.', ': Mulled cider, black pepper, caramels. Molasses again – here the rum is even more clear. Tastes almost like blackstrap rum. At 50% ABV, the burn is present, but the sweetness compensates nicely. A lot of flavor here.', ': Quite long. Crystallized ginger, cloves, and burnt sugar on the fade-out. The burnt sugar note gets a little too acrid for me, but another sip takes care of that. 🙂', ': A few drops of water release a wave of black licorice and cake frosting. The same appear on the palate. This definitely benefits from just a little bit of water.', ': This is a spice bomb and no joke. All of the usual rye character is present, in spades, with a healthy layer of caramelized sugary rum. The interplay is as natural as spices in cider, or brown sugar in spice cake. The bottling proof was a good choice, as everything (flavor, aroma) is amped up equally, and without numbing my tongue. For seven-and-a-half years old, this comes off as big and flavorful and slightly older than it is. I would have awarded a “Must Try” if the whiskey were either cheaper, or more available. I can’t love the price, or the shortages, but I can love this sample for as long as it lasts…']"
31,Ardbeg (10 year) ,"[': Pungent. A hint of lemon precedes a torrent of smoky peat. The peat is redolent of campfires, with toasted wood, charcoal, woodsmoke, and smouldering dry grass. Beneath the peat is a subtle layer of vanilla and brine.', ': Full-bodied. A tinge of sweetness greats the tongue, of pure malted grains and oaky vanilla. This is quickly obliterated by smoking hay, dry seagrass, slightly bitter charcoal, and dense, woodsy peat. While the flavors are intense, they are also very well-balanced, and the tongue burn is minimal, considering its robust 46% ABV. One could contemplate this smoky complexity for hours.', ': Very long (I will be tasting Ardbeg on my lips and tongue throughout the evening). A swath of bitterness is balanced well by a resurgence of malty, nutty grains and a strong spike of anise and black pepper. This all fades together, leaving a fugue of grassy, boggy peat and smoke.', ': A few drops of water initially mute the nose, so give the glass a few swirls and a rest before nosing again. The water seems to unbalance the alcohol burn and peat component, making the aroma sharper and more one-dimensional, although I get some buttery oak now. The palate is tamer and sweeter, but the balance still seems off. At 46%, this does not need water. I recommend keeping it neat.', ': I’m often struck by the differences between Ardbeg peat and Laphroaig peat. The former is all about smoke, and the impression is of a distant wildfire, pervading everything. The latter is all about the sea, with brine and seaweed and iodine. I can’t say which I prefer – I’m alternatively in the mood for either – and I can’t say that either is objectively better. Still, the essence of Ardbeg is control over chaos – an impressive feat considering the wild force of nature that peat becomes in the glass. Ardbeg is both masterfully constrained and wildly flavorful, the kind of whisky that makes you realize why people like smoky flavors in scotch, and also reminds you that the Scots have been perfecting this style for hundreds of years. If you haven’t had Ardbeg 10, there’s really no point in reading about it. You must experience it to complete your training, young padawan. If you aren’t sure you like peat, though, consider just buying a glass, neat, first. If you find you like peat, you cannot go wrong by owning a bottle.']"
32,Ardbeg Airigh Nam Beist ,[]
33,Ardbeg Alligator (Committee Release) ,[]
34,Ardbeg An Oa ,"[': Unmistakably Ardbeg. Sooty smoke and malty grain sweetness in perfect balance. Vanilla, charcoal, and a very faint jam note that I’m probably forcing myself to detect because of the “PX Sherry” on the label. There is also an overt woodiness that is more obvious after your senses adjust to the smoke. ', ': Sooty (did I already say that?) with a moderate tongue burn. Campfire (oak) smoke, brown sugar, root beer, and fresh hay. Actually somewhat narrow, despite Ardbeg’s usual complexity.', ': Very long. Smoke dominates the finish, billowing and unrelenting. No seaweed or anything here, just woodsmoke and an undercurrent of cereal sugars. No sherry that I can detect, even with the power of suggestion.', ': Water has no apparent effect on the whisky. You might consider adding a little if it’s too hot for your liking, but know that it will not dilute the smokiness at all.', ': Unfortunately without a vertical of Ardbeg in front of me I can’t make a confident assessment, but I think this is much smokier than your typical ']"
35,Ardbeg Corryvreckan ,[]
36,Ardbeg Dark Cove ,"[': Potent. Fresh-cut cigars, boggy campfire, roasted cocoa nibs, and soft malty grains. A rest in the glass reveals some uncharacteristic pear notes. If I really concentrate I can identify some of the citrus (lime peel?) notes that are so redolent in Corryvreckan. I smell nothing that suggests sherry, let alone “dark sherry” – whatever that is.', ': Somewhat syrupy body. A flood of chocolate arrives on the tongue, followed by a torrent of hot (young) alcohol. The floodwaters quickly recede, leaving cayenne-spiked Mexican hot chocolate, black pepper, smoked paprika, and smoldering oak firewood.', ': Long. A little peppery, with dusty cocoa powder, ashy woodsmoke, and tobacco. My lips actually feel and taste like I’ve just finished a short cigar.', ': A few drops of water have little apparent effect on the aroma. They do bring out a little tartness on the palate, though, without diminishing it. I’d say water is optional here.', ': An odd duck. The nose is pretty much standard Ardbeg – perhaps even a little muted – almost a disappointment. But then it washes the tongue with the strongest chocolate note I’ve experienced in a whisky. The peat comes across as smoked pepper and smoky spices (paprika), which combine to create an unmistakable flavor of spicy Mexican hot chocolate. The bottling strength is appropriate, but I do wish they’d used a larger percentage of older Ardbeg to subdue some of that fiery youth on the tongue. I also wish they’d used much more of the sherry-finished liquid, as the balance could use a little punch of dried fruit.']"
37,Ardbeg Galileo ,"[': Lot of vanilla. Light brown sugar. Cereal. Very mild peat – this is Ardbeg?', ': Sharp, piquant peat. Vanilla & caramel. Hefty burn. Some wooksmoke (fruit wood – like applewood chips smoking). A little lime juice on the tail end.', ': Not too bitter. Peat shows through (finally) on finish.', ': Becomes very perfumey, like a room full of vanilla beans drying.', ': Lots of vanilla. Easy drinking, for an Ardbeg, but not much else to recommend it. I was 100% unable to identify the marsala. This is a particularly sweet, aromatic whisky with a very muted peat profile. If someone handed me a glass, I can honestly say I would enjoy drinking it. Alas, the total mistranslation of the marsala cask (I would have said this was 100% ex-bourbon), and the special-edition hoopla seriously undermined the experience for me. I would say this whisky is not worth the (exceptional) effort required to secure a bottle. (Although K&L still has ']"
38,Ardbeg Uigeadail ,"[': Ardbeg woodsmoke with a smattering of sherry influence: raisin, fig, etc. The effect, while wholly integrated, is two-dimensional. There is little to the peat character besides woodsmoke, and little to the sherry character beyond raisin. Deep as I dig (and get a snoot-full of alcohol fumes for my trouble), I can’t find anything else.', ': Mildly creamy body, and an expected amount of tongue-burn. A slight citrus note, but not as obvious as ', ': Long. Sherry-tinged woodsmoke, fading without bitterness.', ': A few drops of water highlight some of the citrus notes in the nose, and somewhat tame the tongue burn. The water also adds a welcome orange-peel character to the finish. Diluting down to 46% yields an easily drinkable dram with some sweet citrus, but very tame peat. I suggest experimenting with water to find the right sweet spot for your tastes.', ': Alas, I’m not a fan. Despite several tastings from my bottle over several weeks (and a few over the last couple of years), I do not see anything redeeming about this malt. For my tastes, Ardbeg 10 delivers all the peaty complexity you could want for less money. For more money, ']"
39,Arran Machrie Moor ,"[': Interesting peat. Campfire, burlap, hay. Slight meatiness. Light – smoked, but not muddied. Not hugely complex. Arran peat does not appear to have a distinctive nose, unlike Ornkey and Islay peat. It just smells like regular old smoke.', ': Creamy. Fiery – the youth is evident, unfortunately so. Peat only expresses itself as a low smolder. Some brown sugar.', ': Medium-long. The peat makes itself known – a nice dash of smoked almonds. There’s good balance between peat smoke and cereal sweetness – at least they didn’t try to peat the hell out of it.', ': Water adds some grassiness, but not much else.', ': This dram has the air of an experiment – someone at Arran said “hey, let’s do peat!” and so they did. It’s moderately well-balanced, but it’s neither particularly complex nor particularly exciting. It’s also been bottled far too young. Arran die-hard fans would be interested to see what smoking does to their favorite malt, but the rest of us shouldn’t offer more than a shrug.']"
40,Auchentoshan “The Bartender’s Malt” ,"[': Slightly spirity, top notes of lemon peel, light honey, pale sweet malt. Pleasant, but not exciting. ', ': Medium, syrupy body. Mild tongue burn. Raspberry, white tea, “cooked” malt (tastes like cooked cereal grains – like porridge – rather than fresh/raw – like… I dunno, granola?). ', ': Medium length. Honeycomb. Evolves slightly around malty/sweet/cereal flavors. Some mild oak tannin and a little charcoal bitterness. Fades classically, with walnuts and a nice marshmallow note.', ': A few drops of water don’t seem to open up the aroma much… perhaps even closing it off instead. A rest in the glass reveals a sweet melon note. It also softens the palate a bit. Water is beneficial with this dram, as long as you’re willing to be patient with it.', ': A very standard-tasting malt with no rough edges. A robust and well-chosen 47% ABV keeps it sprightly while the lowland malt keeps it sweet and unchallenging. Definitely a decent summer malt, and I wouldn’t fault anyone for putting a few ice cubes in a glass of this on a hot day. Still, the liquid doesn’t set itself apart from any ex-bourbon Highland malt in the $40 price range or even the entry-level']"
41,Auchentoshan (18 year) ,"[': Somewhat hot. Classically Auchentoshan – lots of distinct cereal grains and minimal wood. Vanilla, sugar cookies, white chocolate, and blonde fudge.', ': Nice medium body, just the right amount of tongue burn – enough to announce its presence. All of the aroma notes are repeated on the tongue.', ': On the short side. Sugar cookies and vanilla fudge continue to be a theme. On the finish, a note of nut skins creeps in, suggesting tannins, but doesn’t get bitter.', ': Water brings out a little more sweetness in both the nose and on the tongue. The effect is additive, and makes a few drops of water a good idea with this malt.', ': Auchentoshan 18 is a clean, light, elegant malt. That said, it doesn’t show a great deal of improvement over younger Auchentoshan, and seems to be aged in a way that picks up minimal wood. For some people that might be a blessing, as it showcases the purity and delicacy of the malt (something triple distillation does, as well). For me, that just means it has less flavor and less complexity. As far as the price goes, I think I prefer ']"
42,Auchentoshan American Oak ,"[': Vanilla and raw barley. Notes are very similar to Irish blended whisky. Light brown sugar and freshly-cut hardwood. A slight overripe banana note underlies the rest, and becomes more prominent as the dram rests. Clean, crisp, and light, like the ', ': Light bodied, but with a slight “simple syrup” texture. Melted vanilla ice cream, some oaky tannins, and mild toasted barley.', ': Short. Very slightly bitter, but with pleasant notes of kettle corn as it fades.', ': A few drops of water accentuate (unfortunately) the banana notes, adding green banana to the mix. Stay away from water with this one – it certainly doesn’t need it at 40% ABV.', ': As a value malt, this has a few ticks in its favor over the ']"
43,Auchentoshan Classic ,[]
44,Auchentoshan Three Wood ,"[': A powerful blossom of sherry greets the nose. Nutty, with plenty of dried fruits (predominantly fig). Some nice acidity comes through – like cranberry, or red wine vinegar – and a bit of caramelized sugar. Overall, the impression is of a mid-aged heavily sherried malt where the sherry is doing all of the work.', ': Viscous body, heavy with notes of balsamic reduction, fig paste, dark chocolate, and hazelnuts. Very appealing.', ': On the short side. Tarry molasses and override plums. A little minty. While the fruit notes slide to the burnt side, like port reduction beginning to scorch in the pan, there are some nice concentrated dried fruit notes and a heavy nuttiness that continues to the end. No undue bitterness.', ': A few drops of water might coax out a little more caramel and nut meats, but doesn’t appreciably improve the experience. I’d skip it.', ': If this was once Auchentoshan, then the sherry monster murdered it and stuffed it in a closet. While ']"
